"title","seasonNumber","av_rating","share","genres","status"
"BoJack Horseman",1,7.7871,0.88,"Animation,Comedy,Drama","riser"
"BoJack Horseman",2,8.044,0.73,"Animation,Comedy,Drama","riser"
"BoJack Horseman",3,8.3554,0.62,"Animation,Comedy,Drama","riser"
"BoJack Horseman",4,8.6384,0.78,"Animation,Comedy,Drama","riser"
"BoJack Horseman",5,9.4738,0.45,"Animation,Comedy,Drama","riser"
"Breaking Bad",1,8.711,11.55,"Crime,Drama,Thriller","riser"
"Breaking Bad",2,8.7655,15.42,"Crime,Drama,Thriller","riser"
"Breaking Bad",3,8.7466,12.34,"Crime,Drama,Thriller","riser"
"Breaking Bad",4,9.1069,10.79,"Crime,Drama,Thriller","riser"
"Breaking Bad",5,9.554,18.95,"Crime,Drama,Thriller","riser"
"Law & Order",1,7.7681,3.94,"Crime,Drama,Mystery","faller"
"Law & Order",2,7.6378,12.77,"Crime,Drama,Mystery","faller"
"Law & Order",3,7.8001,4.88,"Crime,Drama,Mystery","faller"
"Law & Order",4,7.7862,1.82,"Crime,Drama,Mystery","faller"
"Law & Order",5,7.8145,2.22,"Crime,Drama,Mystery","faller"
"Law & Order",6,8.0147,2.45,"Crime,Drama,Mystery","faller"
"Law & Order",7,7.9033,1.3,"Crime,Drama,Mystery","faller"
"Law & Order",8,7.8276,2.3,"Crime,Drama,Mystery","faller"
"Law & Order",9,7.8844,1.24,"Crime,Drama,Mystery","faller"
"Law & Order",10,7.8219,1.31,"Crime,Drama,Mystery","faller"
"Nashville",1,7.5194,0.22,"Drama,Music,Romance","riser"
"Nashville",2,7.5211,0.15,"Drama,Music,Romance","riser"
"Nashville",3,7.6215,0.12,"Drama,Music,Romance","riser"
"Nashville",4,8.3066,0.07,"Drama,Music,Romance","riser"
"Nashville",5,8.58,0.06,"Drama,Music,Romance","riser"
"Pretty Little Liars",1,8.285,1.44,"Drama,Mystery,Romance","faller"
"Pretty Little Liars",2,8.5024,1.05,"Drama,Mystery,Romance","faller"
"Pretty Little Liars",3,8.4803,1.14,"Drama,Mystery,Romance","faller"
"Pretty Little Liars",4,8.2632,0.7,"Drama,Mystery,Romance","faller"
"Pretty Little Liars",5,8.1185,0.59,"Drama,Mystery,Romance","faller"
"Pretty Little Liars",6,7.0538,0.53,"Drama,Mystery,Romance","faller"
"Pretty Little Liars",7,7.5756,0.3,"Drama,Mystery,Romance","faller"
"Roseanne",3,7.8219,4.3,"Comedy,Drama","faller"
"Roseanne",4,7.6784,3.92,"Comedy,Drama","faller"
"Roseanne",5,7.9163,5.91,"Comedy,Drama","faller"
"Roseanne",6,7.6121,1.96,"Comedy,Drama","faller"
"Roseanne",7,7.2524,2.05,"Comedy,Drama","faller"
"Roseanne",8,6.8837,2.18,"Comedy,Drama","faller"
"Roseanne",9,5.8889,1.49,"Comedy,Drama","faller"
"Roseanne",10,7.6066,0.32,"Comedy,Drama","faller"
"The Walking Dead",1,8.7018,5.81,"Drama,Horror,Sci-Fi","faller"
"The Walking Dead",2,8.5113,7.62,"Drama,Horror,Sci-Fi","faller"
"The Walking Dead",3,8.5037,6.61,"Drama,Horror,Sci-Fi","faller"
"The Walking Dead",4,8.4808,6.5,"Drama,Horror,Sci-Fi","faller"
"The Walking Dead",5,8.5695,5.9,"Drama,Horror,Sci-Fi","faller"
"The Walking Dead",6,8.307,5.26,"Drama,Horror,Sci-Fi","faller"
"The Walking Dead",7,7.7381,5.93,"Drama,Horror,Sci-Fi","faller"
"The Walking Dead",8,7.019,7.13,"Drama,Horror,Sci-Fi","faller"
